,Width,Height,Filename,Folder,aspect_ratio,aspect_ratio_round
84,954,1390,shampooadvertisement26,shampoo advertisement,1.4570230607966457,1.5
85,760,1186,shampooadvertisement3,shampoo advertisement,1.5605263157894738,1.6
86,480,360,shampooadvertisement71,shampoo advertisement,0.75,0.8
87,236,388,shampooadvertisement2,shampoo advertisement,1.6440677966101696,1.6
88,1280,720,shampooadvertisement70,shampoo advertisement,0.5625,0.6
89,1500,1500,shampooadvertisement27,shampoo advertisement,1.0,1.0
90,568,946,shampooadvertisement31,shampoo advertisement,1.6654929577464788,1.7
91,2560,1440,shampooadvertisement89,shampoo advertisement,0.5625,0.6
92,638,479,shampooadvertisement66,shampoo advertisement,0.7507836990595611,0.8
93,1278,1712,shampooadvertisement93,shampoo advertisement,1.3395931142410016,1.3
94,1280,720,shampooadvertisement85,shampoo advertisement,0.5625,0.6
95,612,541,shampooadvertisement11,shampoo advertisement,0.8839869281045751,0.9
96,2349,3291,shampooadvertisement46,shampoo advertisement,1.4010217113665389,1.4
97,1500,1500,shampooadvertisement50,shampoo advertisement,1.0,1.0
